"year","round","game","home_team","away_team","home_score","away_score"
2017,"second",2,"Golden State Warriors","Utah Jazz",115,104
2017,"second",3,"Utah Jazz","Golden State Warriors",91,102
2017,"second",4,"Utah Jazz","Golden State Warriors",95,121
2017,"second",1,"San Antonio Spurs","Houston Rockets",99,126
2017,"second",2,"San Antonio Spurs","Houston Rockets",121,96
2017,"second",3,"Houston Rockets","San Antonio Spurs",92,103
2017,"second",4,"Houston Rockets","San Antonio Spurs",125,104
2017,"second",5,"San Antonio Spurs","Houston Rockets",110,107
2017,"second",6,"Houston Rockets","San Antonio Spurs",75,114
2017,"first",1,"Boston Celtics","Chicago Bulls",102,106
2017,"first",2,"Boston Celtics","Chicago Bulls",97,111
2017,"first",3,"Chicago Bulls","Boston Celtics",87,104
2017,"first",4,"Chicago Bulls","Boston Celtics",95,104
2017,"first",5,"Boston Celtics","Chicago Bulls",108,97
2017,"first",6,"Chicago Bulls","Boston Celtics",83,105
2017,"first",1,"Cleveland Cavaliers","Indiana Pacers",109,108
2017,"first",2,"Cleveland Cavaliers","Indiana Pacers",117,111
2017,"first",3,"Indiana Pacers","Cleveland Cavaliers",114,119
2017,"first",4,"Indiana Pacers","Cleveland Cavaliers",102,106
2017,"first",1,"Toronto Raptors","Milwaukee Bucks",83,97
2017,"first",2,"Toronto Raptors","Milwaukee Bucks",106,100
2017,"first",3,"Milwaukee Bucks","Toronto Raptors",104,77
2017,"first",4,"Milwaukee Bucks","Toronto Raptors",76,87
2017,"first",5,"Toronto Raptors","Milwaukee Bucks",118,93
2017,"first",6,"Milwaukee Bucks","Toronto Raptors",89,92
2017,"first",1,"Washington Wizards","Atlanta Hawks",114,107
2017,"first",2,"Washington Wizards","Atlanta Hawks",109,101
2017,"first",3,"Atlanta Hawks","Washington Wizards",116,98
2017,"first",4,"Atlanta Hawks","Washington Wizards",111,101
2017,"first",5,"Washington Wizards","Atlanta Hawks",103,99
2017,"first",6,"Atlanta Hawks","Washington Wizards",99,115
2017,"first",1,"Golden State Warriors","Portland Trail Blazers",121,109
2017,"first",2,"Golden State Warriors","Portland Trail Blazers",110,81
2017,"first",3,"Portland Trail Blazers","Golden State Warriors",113,119
2017,"first",4,"Portland Trail Blazers","Golden State Warriors",103,128
2017,"first",1,"Houston Rockets","Oklahoma City Thunder",118,87
2017,"first",2,"Houston Rockets","Oklahoma City Thunder",115,111
2017,"first",3,"Oklahoma City Thunder","Houston Rockets",115,113
2017,"first",4,"Oklahoma City Thunder","Houston Rockets",109,113
2017,"first",5,"Houston Rockets","Oklahoma City Thunder",105,99
2017,"first",1,"San Antonio Spurs","Memphis Grizzlies",111,82
2017,"first",2,"San Antonio Spurs","Memphis Grizzlies",96,82
2017,"first",3,"Memphis Grizzlies","San Antonio Spurs",105,94
2017,"first",4,"Memphis Grizzlies","San Antonio Spurs",110,108
2017,"first",5,"San Antonio Spurs","Memphis Grizzlies",116,103
2017,"first",6,"Memphis Grizzlies","San Antonio Spurs",96,103
2017,"first",1,"Los Angeles Clippers","Utah Jazz",95,97
2017,"first",2,"Los Angeles Clippers","Utah Jazz",99,91
2017,"first",3,"Utah Jazz","Los Angeles Clippers",106,111
2017,"first",4,"Utah Jazz","Los Angeles Clippers",105,98
2017,"first",5,"Los Angeles Clippers","Utah Jazz",92,96
2017,"first",6,"Utah Jazz","Los Angeles Clippers",93,98
2017,"first",7,"Los Angeles Clippers","Utah Jazz",91,104
2016,"final",1,"Golden State Warriors","Cleveland Cavaliers",104,89
2016,"final",2,"Golden State Warriors","Cleveland Cavaliers",110,77
2016,"final",3,"Cleveland Cavaliers","Golden State Warriors",120,90
2016,"final",4,"Cleveland Cavaliers","Golden State Warriors",97,108
2016,"final",5,"Golden State Warriors","Cleveland Cavaliers",97,112
2016,"final",6,"Cleveland Cavaliers","Golden State Warriors",115,101
2016,"final",7,"Golden State Warriors","Cleveland Cavaliers",89,93
2016,"third",1,"Cleveland Cavaliers","Toronto Raptors",115,84
2016,"third",2,"Cleveland Cavaliers","Toronto Raptors",108,89
2016,"third",3,"Toronto Raptors","Cleveland Cavaliers",99,84
2016,"third",4,"Toronto Raptors","Cleveland Cavaliers",105,99
2016,"third",5,"Cleveland Cavaliers","Toronto Raptors",116,78
2016,"third",6,"Toronto Raptors","Cleveland Cavaliers",87,113
2016,"third",1,"Golden State Warriors","Oklahoma City Thunder",102,108
2016,"third",2,"Golden State Warriors","Oklahoma City Thunder",118,91
2016,"third",3,"Oklahoma City Thunder","Golden State Warriors",133,105
2016,"third",4,"Oklahoma City Thunder","Golden State Warriors",118,94
2016,"third",5,"Golden State Warriors","Oklahoma City Thunder",120,111
